Phase,Area,Task_ID,Task_Name,Description
1,F,P1F1,React 전체 페이지 변환,프로토타입 28개 + 개선 5개 페이지를 React로 변환
1,BI,P1BI1,Supabase 클라이언트 설정,Supabase 클라이언트 초기화 (서버/클라이언트 분리)
1,BI,P1BI2,API 미들웨어,인증 미들웨어 + 에러 핸들링 미들웨어
1,BI,P1BI3,Database Types 생성,Supabase Schema → TypeScript Types 자동 생성
1,BA,P1BA1,회원가입 API (Mock),Mock 데이터로 회원가입 처리
1,BA,P1BA2,Google OAuth API (Mock),Mock Google OAuth 콜백 처리
1,BA,P1BA3,로그인 API (Mock),Mock 데이터로 로그인 처리
1,BA,P1BA4,비밀번호 재설정 API (Mock),Mock 이메일 전송 처리
1,BA,P1BA5,토큰 갱신 API (Mock),Mock 토큰 갱신 처리
1,BA,P1BA6,로그아웃 API (Mock),Mock 로그아웃 처리
1,BA,P1BA7,정치인 목록 API (Mock),Mock 정치인 목록 반환
1,BA,P1BA8,정치인 상세 API (Mock),Mock 정치인 상세 정보 반환
1,BA,P1BA9,정치인 관심 등록 API (Mock),Mock 관심 등록/해제
1,BA,P1BA10,정치인 본인 인증 API (Mock),Mock 정치인 본인 인증 처리
1,BA,P1BA11,AI 평가 조회 API (Mock),Mock AI 평가 데이터 반환
1,BA,P1BA12,AI 평가 생성 API (Mock),Mock AI 평가 생성 시뮬레이션
1,BA,P1BA13,게시글 목록 API (Mock),Mock 게시글 목록 반환
1,BA,P1BA14,게시글 상세 API (Mock),Mock 게시글 상세 정보 반환
1,BA,P1BA15,게시글 작성 API (Mock),Mock 게시글 작성 처리
1,BA,P1BA16,댓글 작성 API (Mock),Mock 댓글 작성 처리
1,BA,P1BA17,좋아요 API (Mock),Mock 좋아요/좋아요 취소 처리
1,BA,P1BA18,공유 API (Mock),Mock 게시글 공유 처리
1,BA,P1BA19,팔로우 API (Mock),Mock 팔로우/언팔로우 처리
1,BA,P1BA20,알림 조회 API (Mock),Mock 알림 목록 반환
1,BA,P1BA21,관리자 통계 API (Mock),Mock 관리자 대시보드 통계
1,BA,P1BA22,사용자 관리 API (Mock),Mock 사용자 관리 (차단/활성화)
1,BA,P1BA23,콘텐츠 신고 API (Mock),Mock 콘텐츠 신고 처리
2,D,P2D1,전체 Database 스키마 (통합),모든 테이블 + 트리거 + 타입 + Storage + 최적화
3,BA,P3BA1,회원가입 API (Real),Supabase Auth + users 테이블 실제 처리
