영역,속성,Phase 1: 프로젝트 초기 설정,Phase 2: 핵심 기능 개발,Phase 3: 커뮤니티 기능 강화,Phase 4: 테스트 & 최적화,Phase 5: 베타 런칭
Frontend,,,,,,
,작업ID,P1F1,P2F1,P3F1,P4F1,P5F1
,업무,Next.js 14 프로젝트 초기화,정치인 카드 컴포넌트,알림 벨 컴포넌트,성능 최적화 (코드 스플리팅),사용자 피드백 수집 UI
,작업지시서,tasks/P1F1.md,tasks/P2F1.md,tasks/P3F1.md,tasks/P4F1.md,tasks/P5F1.md
,담당AI,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer
,진도,0%,0%,0%,0%,0%
,상태,대기,대기,대기,대기,대기
,테스트/검토,테스트,테스트,테스트,테스트,테스트
,자동화방식,수동,수동,수동,수동,수동
,의존작업,없음,P1F1,P2B1,P4F1,P5B1
,블로커,없음,없음,없음,없음,없음
,작업ID,P1F2,P2F2,P3F2,P4F2,P5F2
,업무,TypeScript & Tailwind 설정,시민 평가 UI 컴포넌트,댓글 작성 컴포넌트,Lighthouse 점수 90+,사용자 가이드 페이지
,작업지시서,tasks/P1F2.md,tasks/P2F2.md,tasks/P3F2.md,tasks/P4F2.md,tasks/P5F2.md
,담당AI,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer
,진도,0%,0%,0%,0%,0%
,상태,대기,대기,대기,대기,대기
,테스트/검토,테스트,테스트,테스트,테스트,테스트
,자동화방식,수동,수동,수동,수동,수동
,의존작업,P1F1,P2B2,P3B2,P4F1,P5V1
,블로커,없음,없음,없음,없음,없음
,작업ID,P1F3,P2F3,P3F3,P4F3,P5F3
,업무,shadcn/ui 설치 및 설정,검색 필터링 UI,댓글 목록 컴포넌트 (계층형),SEO 메타 태그 최적화,공지사항 팝업 시스템
,작업지시서,tasks/P1F3.md,tasks/P2F3.md,tasks/P3F3.md,tasks/P4F3.md,tasks/P5F3.md
,담당AI,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer
,진도,0%,0%,0%,0%,0%
,상태,대기,대기,대기,대기,대기
,테스트/검토,테스트,테스트,테스트,테스트,테스트
,자동화방식,수동,수동,수동,수동,수동
,의존작업,P1F2,P2B4,P3B3,P4F2,P5V1
,블로커,없음,없음,없음,없음,없음
,작업ID,P1F4,P2F4,P3F4,P4F4,
,업무,폴더 구조 생성,페이지네이션 컴포넌트,대댓글 UI,로딩 스피너 컴포넌트,
,작업지시서,tasks/P1F4.md,tasks/P2F4.md,tasks/P3F4.md,tasks/P4F4.md,
,담당AI,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,
,진도,0%,0%,0%,0%,
,상태,대기,대기,대기,대기,
,테스트/검토,검토,테스트,테스트,테스트,
,자동화방식,수동,수동,수동,수동,
,의존작업,P1F1,P2B6,P3B3,없음,
,블로커,없음,없음,없음,없음,
,작업ID,P1F5,P2F5,P3F5,P4F5,
,업무,인증 상태 관리 (Zustand),정렬 옵션 드롭다운,알림 드롭다운 UI,토스트 알림 시스템,
,작업지시서,tasks/P1F5.md,tasks/P2F5.md,tasks/P3F5.md,tasks/P4F5.md,
,담당AI,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,
,진도,0%,0%,0%,0%,
,상태,대기,대기,대기,대기,
,테스트/검토,테스트,테스트,테스트,테스트,
,자동화방식,수동,수동,수동,수동,
,의존작업,P1F1,P2B1,P3B4,없음,
,블로커,없음,없음,없음,없음,
,작업ID,P1F6,P2F6,P3F6,P4F6,
,업무,회원가입 페이지,정치인 상세 페이지,좋아요 버튼 컴포넌트,에러 바운더리,
,작업지시서,tasks/P1F6.md,tasks/P2F6.md,tasks/P3F6.md,tasks/P4F6.md,
,담당AI,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,
,진도,0%,0%,0%,0%,
,상태,대기,대기,대기,대기,
,테스트/검토,테스트,테스트,테스트,테스트,
,자동화방식,수동,수동,수동,수동,
,의존작업,P1B6,P2B1,P3B5,없음,
,블로커,없음,없음,없음,없음,
,작업ID,P1F7,P2F7,P3F7,P4F7,
,업무,로그인 페이지,정치인 목록 페이지,멘션(@) 입력 UI,404/500 에러 페이지,
,작업지시서,tasks/P1F7.md,tasks/P2F7.md,tasks/P3F7.md,tasks/P4F7.md,
,담당AI,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,
,진도,0%,0%,0%,0%,
,상태,대기,대기,대기,대기,
,테스트/검토,테스트,테스트,테스트,테스트,
,자동화방식,수동,수동,수동,수동,
,의존작업,P1B7,P2B1,P3B3,없음,
,블로커,없음,없음,없음,없음,
,작업ID,,P2F8,P3F8,P4F8,
,업무,,AI 평가 점수 표시 컴포넌트,북마크 버튼 컴포넌트,폼 유효성 검사,
,작업지시서,,tasks/P2F8.md,tasks/P3F8.md,tasks/P4F8.md,
,담당AI,,fullstack-developer,fullstack-developer,fullstack-developer,
,진도,,0%,0%,0%,
,상태,,대기,대기,대기,
,테스트/검토,,테스트,테스트,테스트,
,자동화방식,,수동,수동,수동,
,의존작업,,P2B3,P3B6,없음,
,블로커,,없음,없음,없음,
,작업ID,,P2F9,P3F9,,
,업무,,AI 평가 차트 컴포넌트,신고 다이얼로그,,
,작업지시서,,tasks/P2F9.md,tasks/P3F9.md,,
,담당AI,,fullstack-developer,fullstack-developer,,
,진도,,0%,0%,,
,상태,,대기,대기,,
,테스트/검토,,테스트,테스트,,
,자동화방식,,수동,수동,,
,의존작업,,P2B3,P3B7,,
,블로커,,없음,없음,,
,작업ID,,P2F10,P3F10,,
,업무,,메인 페이지 랭킹 섹션,마이페이지,,
,작업지시서,,tasks/P2F10.md,tasks/P3F10.md,,
,담당AI,,fullstack-developer,fullstack-developer,,
,진도,,0%,0%,,
,상태,,대기,대기,,
,테스트/검토,,테스트,테스트,,
,자동화방식,,수동,수동,,
,의존작업,,P2B7,P1B8,,
,블로커,,없음,없음,,
,작업ID,,,P3F11,,
,업무,,,정치인 인증 요청 페이지,,
,작업지시서,,,tasks/P3F11.md,,
,담당AI,,,fullstack-developer,,
,진도,,,0%,,
,상태,,,대기,,
,테스트/검토,,,테스트,,
,자동화방식,,,수동,,
,의존작업,,,P3B8,,
,블로커,,,없음,,
,작업ID,,,P3F12,,
,업무,,,관리자 대시보드 페이지,,
,작업지시서,,,tasks/P3F12.md,,
,담당AI,,,fullstack-developer,,
,진도,,,0%,,
,상태,,,대기,,
,테스트/검토,,,테스트,,
,자동화방식,,,수동,,
,의존작업,,,P3B9,,
,블로커,,,없음,,
Backend,,,,,,
,작업ID,P1B1,P2B1,P3B1,P4B1,P5B1
,업무,FastAPI 초기화,정치인 목록 API,알림 생성 및 조회 API,쿼리 최적화,피드백 수집 API
,작업지시서,tasks/P1B1.md,tasks/P2B1.md,tasks/P3B1.md,tasks/P4B1.md,tasks/P5B1.md
,담당AI,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer
,진도,0%,0%,0%,0%,0%
,상태,대기,대기,대기,대기,대기
,테스트/검토,테스트,테스트,테스트,테스트,테스트
,자동화방식,수동,수동,수동,수동,수동
