영역,속성,Phase 1: 프로젝트 초기 설정,Phase 2: 핵심 기능 개발,Phase 3: 커뮤니티 기능 강화,Phase 4: 테스트 & 최적화,Phase 5: 베타 런칭,Phase 6: 다중 AI 평가,Phase 7: 연결 서비스 플랫폼,Phase 8: AI 아바타 소통
Frontend,,,,,,,,,
,작업ID,P1F1,P2F1,P3F1,P4F1,P5F1,P6F1,P7F1,P8F1
,업무,Next.js 14 프로젝트 초기화,정치인 카드 컴포넌트,알림 벨 컴포넌트,성능 최적화 (코드 스플리팅),사용자 피드백 수집 UI,AI 비교 대시보드 페이지,서비스 업체 목록 페이지,채팅 UI 컴포넌트
,작업지시서,tasks/P1F1.md,tasks/P2F1.md,tasks/P3F1.md,tasks/P4F1.md,tasks/P5F1.md,tasks/P6F1.md,tasks/P7F1.md,tasks/P8F1.md
,담당AI,fullstack-developer,fullstack-developer,fullstack-developer,devops-troubleshooter,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer
,진도,100%,0%,0%,0%,0%,0%,0%,0%
,상태,완료,대기,대기,대기,대기,대기,대기,대기
,테스트/검토,통과,테스트,테스트,테스트,테스트,테스트,테스트,테스트
,자동화방식,수동,수동,수동,수동,수동,수동,수동,수동
,의존작업,없음,P1F1,P2B1,P4F1,P5B1,P6B5,P7B1,P8B1
,블로커,없음,없음,없음,없음,없음,없음,없음,없음
,작업ID,P1F2,P2F2,P3F2,P4F2,P5F2,P6F2,P7F2,P8F2
,업무,TypeScript & Tailwind 설정,시민 평가 UI 컴포넌트,댓글 작성 컴포넌트,Lighthouse 점수 90+,사용자 가이드 페이지,AI 평가 차트 컴포넌트 (다중),서비스 업체 상세 페이지,정치인별 채팅방 페이지
,작업지시서,tasks/P1F2.md,tasks/P2F2.md,tasks/P3F2.md,tasks/P4F2.md,tasks/P5F2.md,tasks/P6F2.md,tasks/P7F2.md,tasks/P8F2.md
,담당AI,fullstack-developer,fullstack-developer,fullstack-developer,devops-troubleshooter,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer
,진도,100%,0%,0%,0%,0%,0%,0%,0%
,상태,완료,대기,대기,대기,대기,대기,대기,대기
,테스트/검토,통과,테스트,테스트,테스트,테스트,테스트,테스트,테스트
,자동화방식,수동,수동,수동,수동,수동,수동,수동,수동
,의존작업,P1F1,P2B2,P3B2,P4F1,P5V1,P6B1,P7F1,P8F1
,블로커,없음,없음,없음,없음,없음,없음,없음,없음
,작업ID,P1F3,P2F3,P3F3,P4F3,P5F3,P6F3,P7F3,P8F3
,업무,shadcn/ui 설치 및 설정,검색 필터링 UI,댓글 목록 컴포넌트 (계층형),SEO 메타 태그 최적화,공지사항 팝업 시스템,AI 신뢰도 표시 컴포넌트,서비스 카테고리 필터,대화 히스토리 컴포넌트
,작업지시서,tasks/P1F3.md,tasks/P2F3.md,tasks/P3F3.md,tasks/P4F3.md,tasks/P5F3.md,tasks/P6F3.md,tasks/P7F3.md,tasks/P8F3.md
,담당AI,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer
,진도,100%,0%,0%,0%,0%,0%,0%,0%
,상태,완료,대기,대기,대기,대기,대기,대기,대기
,테스트/검토,통과,테스트,테스트,테스트,테스트,테스트,테스트,테스트
,자동화방식,수동,수동,수동,수동,수동,수동,수동,수동
,의존작업,P1F2,P2B4,P3B3,P4F2,P5V1,P6B5,P7B5,P8B6
,블로커,없음,없음,없음,없음,없음,없음,없음,없음
,작업ID,P1F4,P2F4,P3F4,P4F4,,,P6F4,P7F4,P8F4
,업무,폴더 구조 생성,페이지네이션 컴포넌트,대댓글 UI,로딩 스피너 컴포넌트,,,AI 평가 상세 모달,문의 폼 컴포넌트,음성 녹음 버튼 (STT)
,작업지시서,tasks/P1F4.md,tasks/P2F4.md,tasks/P3F4.md,tasks/P4F4.md,,,tasks/P6F4.md,tasks/P7F4.md,tasks/P8F4.md
,담당AI,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,,,fullstack-developer,fullstack-developer,fullstack-developer
,진도,100%,0%,0%,0%,,,0%,0%,0%
,상태,완료,대기,대기,대기,,,대기,대기,대기
,테스트/검토,검토완료,테스트,테스트,테스트,,,테스트,테스트,테스트
,자동화방식,수동,수동,수동,수동,,,수동,수동,수동
,의존작업,P1F1,P2B6,P3B3,없음,,,P6B1,P7B3,P8B7
,블로커,없음,없음,없음,없음,,,없음,없음,없음
,작업ID,P1F5,P2F5,P3F5,P4F5,,,P6F5,P7F5,P8F5
,업무,인증 상태 관리 (Zustand),정렬 옵션 드롭다운,알림 드롭다운 UI,토스트 알림 시스템,,,종합 점수 표시 컴포넌트,문의 내역 페이지,음성 재생 버튼 (TTS)
,작업지시서,tasks/P1F5.md,tasks/P2F5.md,tasks/P3F5.md,tasks/P4F5.md,,,tasks/P6F5.md,tasks/P7F5.md,tasks/P8F5.md
,담당AI,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,,,fullstack-developer,fullstack-developer,fullstack-developer
,진도,100%,0%,0%,0%,,,0%,0%,0%
,상태,완료,대기,대기,대기,,,대기,대기,대기
,테스트/검토,통과,테스트,테스트,테스트,,,테스트,테스트,테스트
,자동화방식,수동,수동,수동,수동,,,수동,수동,수동
,의존작업,P1F1,P2B1,P3B4,없음,,,P6B5,P7B4,P8B8
,블로커,없음,없음,없음,없음,,,없음,없음,없음
,작업ID,P1F6,P2F6,P3F6,P4F6,,,P6F6,P7F6,P8F6
,업무,회원가입 페이지,정치인 상세 페이지,좋아요 버튼 컴포넌트,에러 바운더리,,,AI 설정 페이지 (가중치),업체 등록 신청 페이지,실시간 타이핑 인디케이터
,작업지시서,tasks/P1F6.md,tasks/P2F6.md,tasks/P3F6.md,tasks/P4F6.md,,,tasks/P6F6.md,tasks/P7F6.md,tasks/P8F6.md
,담당AI,fullstack-developer,fullstack-developer,fullstack-developer,fullstack-developer,,,fullstack-developer,fullstack-developer,fullstack-developer
,진도,100%,0%,0%,0%,,,0%,0%,0%
,상태,완료,대기,대기,대기,,,대기,대기,대기
,테스트/검토,통과,테스트,테스트,테스트,,,테스트,테스트,테스트
,자동화방식,수동,수동,수동,수동,,,수동,수동,수동
,의존작업,P1B6,P2B1,P3B5,없음,,,P6D3,P7B1,P8B1
,블로커,없음,없음,없음,없음,,,없음,없음,없음
,작업ID,P1F7,P2F7,P3F7,P4F7,,,,P7F7,P8F7
,업무,로그인 페이지,정치인 목록 페이지,멘션(@) 입력 UI,404/500 에러 페이지,,,,업체 리뷰 컴포넌트,채팅 검색 기능
,작업지시서,100%,tasks/P2F7.md,tasks/P3F7.md,tasks/P4F7.md,,,,tasks/P7F7.md,tasks/P8F7.md
,담당AI,완료,fullstack-developer,fullstack-developer,fullstack-developer,,,,fullstack-developer,fullstack-developer
,진도,100%,0%,0%,0%,,,,0%,0%
,상태,완료,대기,대기,대기,,,,대기,대기
,테스트/검토,통과,테스트,테스트,테스트,,,,테스트,테스트
,자동화방식,수동,수동,수동,수동,,,,수동,수동
,의존작업,P1B7,P2B1,P3B3,없음,,,,P7B6,P8B9
,블로커,없음,없음,없음,없음,,,,없음,없음
,작업ID,,P2F8,P3F8,P4F8,,,,P7F8,P8F8
,업무,,AI 평가 점수 표시 컴포넌트,북마크 버튼 컴포넌트,폼 유효성 검사,,,,관리자 업체 승인 페이지,채팅방 목록 페이지
,작업지시서,100%,tasks/P2F8.md,tasks/P3F8.md,tasks/P4F8.md,,,,tasks/P7F8.md,tasks/P8F8.md
,담당AI,완료,fullstack-developer,fullstack-developer,fullstack-developer,,,,fullstack-developer,fullstack-developer
,진도,통과,0%,0%,0%,,,,0%,0%
,상태,,대기,대기,대기,,,,대기,대기
,테스트/검토,,테스트,테스트,테스트,,,,테스트,테스트
,자동화방식,,수동,수동,수동,,,,수동,수동
,의존작업,,P2B3,P3B6,없음,,,,P7B7,P8D1
,블로커,,없음,없음,없음,,,,없음,없음
,작업ID,,P2F9,P3F9,,,,,, P8F9
,업무,,AI 평가 차트 컴포넌트,신고 다이얼로그,,,,,,AI 아바타 이미지
,작업지시서,,tasks/P2F9.md,tasks/P3F9.md,,,,,,tasks/P8F9.md
,담당AI,,fullstack-developer,fullstack-developer,,,,,,fullstack-developer
,진도,,0%,0%,,,,,,0%
,상태,,대기,대기,,,,,,대기
,테스트/검토,,테스트,테스트,,,,,,테스트
,자동화방식,,수동,수동,,,,,,수동
,의존작업,,P2B3,P3B7,,,,,,P8A1
,블로커,,없음,없음,,,,,,없음
,작업ID,,P2F10,P3F10,,,,,, P8F10
,업무,,메인 페이지 랭킹 섹션,마이페이지,,,,,,대화 공유 기능 (SNS)
,작업지시서,,tasks/P2F10.md,tasks/P3F10.md,,,,,,tasks/P8F10.md
,담당AI,,fullstack-developer,fullstack-developer,,,,,,fullstack-developer
,진도,,0%,0%,,,,,,0%
,상태,,대기,대기,,,,,,대기
,테스트/검토,,테스트,테스트,,,,,,테스트
,자동화방식,,수동,수동,,,,,,수동
,의존작업,,P2B7,P1B8,,,,,,P8B6
,블로커,,없음,없음,,,,,,없음
,작업ID,,,P3F11,,,,,,
,업무,,,정치인 인증 요청 페이지,,,,,,
,작업지시서,,,tasks/P3F11.md,,,,,,
,담당AI,,,fullstack-developer,,,,,,
,진도,,,0%,,,,,,
,상태,,,대기,,,,,,
,테스트/검토,,,테스트,,,,,,
,자동화방식,,,수동,,,,,,
,의존작업,,,P3B8,,,,,,
,블로커,,,없음,,,,,,
,작업ID,,,P3F12,,,,,,
,업무,,,관리자 대시보드 페이지,,,,,,
,작업지시서,,,tasks/P3F12.md,,,,,,
,담당AI,,,fullstack-developer,,,,,,
,진도,,,0%,,,,,,
,상태,,,대기,,,,,,
,테스트/검토,,,테스트,,,,,,
,자동화방식,,,수동,,,,,,
,의존작업,,,P3B9,,,,,,
,블로커,,,없음,,,,,,
Backend,,,,,,,,,
,작업ID,P1B1,P2B1,P3B1,P4B1,P5B1,P6B1,P7B1,P8B1
