## 🌟 V6.2 정치인 평가 프레임워크: 70개 항목 제안

정치학 및 공공행정 평가 전문가로서, "훌륭하면서 당선 가능성이 높은 한국 정치인 선별"이라는 목표와 엄격한 제약조건(6/6 직종 적용, 100% 정형 데이터, 공식 4:공개 3 비율)을 충족하는 V6.2 프레임워크의 70개 항목을 제안합니다.

제안된 항목은 **공식 데이터**를 통해 **품질(Quality, Stoker의 C-I-A)**을 엄격하게 측정하고, **공개 데이터**를 통해 **인기도 및 대중적 영향력(Popularity, Jacobson/Nate Silver)**을 객관적으로 포착하는 데 중점을 두었습니다.

---

### A. 능력·역량 (Competence) - 21개 항목

#### 분야 1: 전문성 (7개: 공식 4, 공개 3)

| 항목 번호 | 항목명 | 측정 방법 | 데이터 유형 | 학술 근거 |
| :--- | :--- | :--- | :--- | :--- |
| **1-1** | **직무 관련 박사 학위 보유 여부** | 박사 학위 보유 시 1점 (선관위 학력 기준) | 공식 (정형) | Stoker et al. (2024) |
| **1-2** | **전문 자격증 보유 개수** | 변호사, CPA, 전문 기술사, 교원 자격증 등 직무 관련 자격증 총 개수 | 공식 (정형) | Volden & Wiseman (2025) |
| **1-3** | **관련 분야 공직 경력 연수** | 국회, 행정부, 법원, 지자체, 교육청 등 공식 기관 경력 합계 (년) | 공식 (정형) | Slough (2024) |
| **1-4** | **연간 전문 교육 이수 시간** | 의회/지자체/교육청 등 주관의 직무 관련 공식 교육 이수 시간 (공식 통계/증명서) | 공식 (정형) | LEVER Framework (2024) |
| **1-5** | **위키피디아 페이지 월평균 조회수** | 한국어 위키피디아 페이지의 월평균 조회수 (최근 12개월) | 공개 (정형) | Jacobson (2015) |
| **1-6** | **전문 분야 언론 기고 건수** | 중앙 일간지 및 전문지(법률/조세/교육 등)에 게재된 전문 칼럼/기고 건수 (최근 4년) | 공개 (정형) | Stoker et al. (2024) |
| **1-7** | **Google Scholar 저작물 피인용 횟수** | Google Scholar에 검색되는 저서/논문의 총 피인용 횟수 | 공개 (정형) | Volden & Wiseman (2025) |

---

#### 분야 2: 리더십 (7개: 공식 4, 공개 3)

| 항목 번호 | 항목명 | 측정 방법 | 데이터 유형 | 학술 근거 |
| :--- | :--- | :--- | :--- | :--- |
| **2-1** | **대표 발의한 법안/조례 통과율** | 대표 발의 법안/조례 건수 대비 통과되어 효력이 발생한 건수의 비율 | 공식 (정형) | Volden & Wiseman (2025) |
| **2-2** | **위원장/주요 당직 경력 연수** | 의회 위원장, 당 원내대표/최고위원, 단체장 주요 직책 재임 기간 합계 (년) | 공식 (정형) | Slough (2024) |
| **2-3** | **타 기관 협력 예산 확보 금액** | 타 지자체/기관/부처와 공동 추진한 사업의 총 예산 확보액 | 공식 (정형) | LEVER Framework (2024) |
| **2-4** | **정책 실패 관련 공문서/회의록 발언 수 (역산)** | 정책 실패 상황에서 책임 회피성 또는 타인 전가성 발언의 횟수 | 공식 (정형) | Stoker et al. (2024) |
| **2-5** | **"영향력" 관련 언론 보도 긍정 비율** | 빅카인즈 키워드 ("영향력", "리더십", "협상력") 검색 결과 중 긍정 감성 지수 | 공개 (정형) | Nate Silver (선거 예측) |
| **2-6** | **주요 정책 결정 시기 SNS 트윗 빈도** | 핵심 정책 의사 결정 시기(예산, 인사 등)의 SNS를 통한 정보 제공/소통 빈도 | 공개 (정형) | Jacobson (2015) |
| **2-7** | **인물 중심 언론 기사 노출 빈도** | 인물 이름이 기사 제목 또는 리드문에 등장한 중앙/지역 언론 기사 건수 (최근 1년) | 공개 (정형) | Nate Silver (선거 예측) |

---

#### 분야 3: 비전 (7개: 공식 4, 공개 3)

| 항목 번호 | 항목명 | 측정 방법 | 데이터 유형 | 학술 근거 |
| :--- | :--- | :--- | :--- | :--- |
| **3-1** | **장기 발전 계획 공식 수립 여부** | 임기 내 4년 이상 목표를 포함하는 중장기 계획 문서 공식 공개 여부 (발표 시 1점) | 공식 (정형) | Stoker et al. (2024) |
| **3-2** | **미래 투자 예산 비율** | R&D, 인재 육성, 신기술 등 미래 지향적 사업 예산이 전체 예산에서 차지하는 비율 | 공식 (정형) | LEVER Framework (2024) |
| **3-3** | **지속가능발전 정책 예산 증가율** | 전년 대비 환경, 기후 변화 등 지속가능성 목표 관련 예산 증가율 | 공식 (정형) | Slough (2024) |
| **3-4** | **디지털/AI 관련 정책 발의 건수** | 디지털 전환, AI, 빅데이터 활용 관련 정책/조례 발의 총 건수 | 공식 (정형) | Volden & Wiseman (2025) |
| **3-5** | **"혁신" 키워드 언론 보도 횟수** | 빅카인즈에서 "혁신", "미래", "비전" 키워드와 함께 보도된 기사 총 건수 (최근 4년) | 공개 (정형) | Nate Silver (선거 예측) |
| **3-6** | **해외 언론 혁신 정책 보도 횟수** | Google News 등에서 해당 정치인의 혁신 정책이 해외 주요 언론에 보도된 횟수 | 공개 (정형) | Jacobson (2015) |
| **3-7** | **청년층 SNS 정책 관심도 지수** | 20~30대 SNS 유저들의 정책 관련 게시물(댓글/좋아요) 중 해당 정치인 언급 빈도 | 공개 (정형) | Stoker et al. (2024) |

---

### B. 도덕·윤리 (Integrity) - 28개 항목

#### 분야 4: 청렴성 (7개: 공식 4, 공개 3)

| 항목 번호 | 항목명 | 측정 방법 | 데이터 유형 | 학술 근거 |
| :--- | :--- | :--- | :--- | :--- |
| **4-1** | **부패 범죄 확정 판결 건수 (역산)** | 뇌물, 횡령 등 부패 관련 형사 확정 판결 건수 | 공식 (정형) | Stoker et al. (2024) |
| **4-2** | **공직자 윤리법 위반 징계 건수 (역산)** | 공직자윤리위원회/선관위로부터 받은 공식 징계 건수 | 공식 (정형) | Slough (2024) |
| **4-3** | **재산 등록 누락/허위 신고 징계 건수 (역산)** | 재산 공개 시 누락, 허위 신고 등으로 인한 공식 징계 건수 | 공식 (정형) | LEVER Framework (2024) |
| **4-4** | **정치자금법 위반 처벌 건수 (역산)** | 정치자금 수입/지출 보고 누락, 허위 등 관련 형사/행정 처벌 건수 | 공식 (정형) | Stoker et al. (2024) |
| **4-5** | **청렴 관련 부정 키워드 언론 보도 건수 (역산)** | "비리", "부정", "횡령", "특혜" 키워드와 함께 보도된 5대 일간지 기사 총 건수 (최근 4년) | 공개 (정형) | Nate Silver (선거 예측) |
| **4-6** | **한국투명성기구 보고서 언급 횟수 (역산)** | 한국투명성기구 보고서 또는 참여연대 부패 감시 리포트에 구체적으로 언급된 횟수 | 공개 (정형) | LEVER Framework (2024) |
| **4-7** | **'청렴' 관련 긍정 언론 보도 비율** | '청렴', '깨끗한 정치' 키워드와 함께 보도된 언론 기사 중 긍정 감성 비율 | 공개 (정형) | Jacobson (2015) |

---

#### 분야 5: 윤리성 (7개: 공식 4, 공개 3)

| 항목 번호 | 항목명 | 측정 방법 | 데이터 유형 | 학술 근거 |
| :--- | :--- | :--- | :--- | :--- |
| **5-1** | **비(非)부패 형사 범죄 확정 판결 건수 (역산)** | 음주운전, 폭행, 명예훼손 등 일반 형사 범죄 확정 판결 건수 | 공식 (정형) | Stoker et al. (2024) |
| **5-2** | **성범죄 확정 판결 또는 징계 건수 (역산)** | 성추행, 성폭력 등 성 관련 범죄 확정 판결 및 공식 기관 징계 건수 | 공식 (정형) | LEVER Framework (2024) |
| **5-3** | **윤리위원회 징계 건수 (역산)** | 의회 윤리특별위원회, 인사위원회 등으로부터 받은 징계 건수 (징계 종류별 가중치 적용) | 공식 (정형) | Slough (2024) |
| **5-4** | **국가인권위원회 시정 권고/결정 건수 (역산)** | 인권 침해 및 차별 행위 관련 국가인권위원회의 시정 권고/결정 건수 | 공식 (정형) | LEVER Framework (2024) |
| **5-5** | **'혐오 표현' 관련 언론 보도 건수 (역산)** | 공식 발언/SNS에서 특정 집단에 대한 '혐오 표현', '차별 발언' 등으로 보도된 기사 건수 | 공개 (정형) | Stoker et al. (2024) |
| **5-6** | **폭언·욕설 등 부적절 언행 언론 보도 건수 (역산)** | '폭언', '욕설', '막말' 등 부적절한 언행으로 보도된 언론 기사 건수 | 공개 (정형) | Jacobson (2015) |
| **5-7** | **시민단체 윤리성 비판 리포트 언급 횟수 (역산)** | 참여연대, 시민단체 등으로부터 구체적인 윤리성 문제를 지적받은 횟수 | 공개 (정형) | LEVER Framework (2024) |

---

#### 분야 6: 책임감 (7개: 공식 4, 공개 3)

| 항목 번호 | 항목명 | 측정 방법 | 데이터 유형 | 학술 근거 |
| :--- | :--- | :--- | :--- | :--- |
| **6-1** | **공약 이행률** | 매니페스토 실천본부 또는 자체 공약 평가 보고서의 최종 공약 이행 완료율 | 공식 (정형) | Slough (2024) |
| **6-2** | **본회의 및 위원회 출석률** | 의회 공식 기록에 따른 회의 출석 비율 | 공식 (정형) | Volden & Wiseman (2025) |
| **6-3** | **예산 집행률** | 연간 확정 예산 대비 실제 집행된 금액의 비율 (광역/기초단체장 중심) | 공식 (정형) | LEVER Framework (2024) |
| **6-4** | **감사 지적 사항 개선 완료율** | 감사원/지자체 감사에서 지적받은 사항에 대한 공식 개선 완료 보고 비율 | 공식 (정형) | Slough (2024) |
| **6-5** | **매니페스토 공약 이행률 평가 등급** | 매니페스토 실천본부의 공약 이행 평가 등급 (SA, A, B, C, D 점수화) | 공개 (정형) | Stoker et al. (2024) |
| **6-6** | **의정/직무 활동 보고 SNS 게시물 빈도** | 공약 및 의정/직무 활동 진행 상황을 보고하는 SNS 게시물(공식 채널)의 월평균 빈도 | 공개 (정형) | Jacobson (2015) |
| **6-7** | **시민단체 의정/직무 감시 평가 점수** | 참여연대 등 시민단체에서 발표하는 의정/직무 활동 평가 점수 (최근 4년 평균) | 공개 (정형) | LEVER Framework (2024) |

---

#### 분야 7: 투명성 (7개: 공식 4, 공개 3)

| 항목 번호 | 항목명 | 측정 방법 | 데이터 유형 | 학술 근거 |
| :--- | :--- | :--- | :--- | :--- |
| **7-1** | **정보 공개 청구 응답률** | 정보공개 포털 등을 통한 정보 공개 청구에 대한 최종 응답 및 공개 결정 비율 | 공식 (정형) | Slough (2024) |
| **7-2** | **회의록 및 의사록 공개율** | 법정 공개 대상인 공식 회의록 및 의사록이 기한 내에 공개된 비율 | 공식 (정형) | LEVER Framework (2024) |
| **7-3** | **업무 추진비 상세 공개 여부** | 법적 의무가 없는 업무 추진비(재량 지출) 사용 내역을 자발적으로 상세 공개하는 시스템 유무 (유=1점) | 공식 (정형) | Stoker et al. (2024) |
| **7-4** | **예산 집행 상세 공개 시스템 유무** | 예산 집행 내역을 건별, 용도별로 상세 공개하는 시스템 운영 여부 (운영 시 1점) | 공식 (정형) | LEVER Framework (2024) |
| **7-5** | **투명성 관련 긍정 언론 보도 비율** | '투명성', '공개', '정보 공개' 키워드와 함께 보도된 언론 기사 중 긍정 감성 비율 | 공개 (정형) | Jacobson (2015) |
| **7-6** | **오픈넷/정보공개센터 등 평가 보고서 언급 횟수** | 정보 공개 및 투명성 관련 시민단체 평가 보고서에 우수 사례로 언급된 횟수 | 공개 (정형) | Slough (2024) |
| **7-7** | **공약 이행 보고서 중간 공개 횟수** | 공약 이행의 투명성을 위해 임기 중 공약 진행 상황을 중간 공개한 횟수 (매니페스토 외) | 공개 (정형) | Stoker et al. (2024) |

---

### C. 진정성 (Authenticity) - 21개 항목

#### 분야 8: 소통능력 (7개: 공식 4, 공개 3)

| 항목 번호 | 항목명 | 측정 방법 | 데이터 유형 | 학술 근거 |
| :--- | :--- | :--- | :--- | :--- |
| **8-1** | **주민 간담회/타운홀 미팅 개최 횟수** | 연간 지역구민 대상의 공식 간담회, 타운홀 미팅 개최 횟수 (공식 기록 기준) | 공식 (정형) | Stoker et al. (2024) |
| **8-2** | **온라인 소통 채널 공식 운영 수** | 공식 홈페이지 외에 SNS, 블로그 등 소통 목적으로 운영하는 공개 채널 총 개수 | 공식 (정형) | LEVER Framework (2024) |
| **8-3** | **공청회/정책 토론회 개최/참여 횟수** | 연간 정책 입안 전 공청회 또는 공개 정책 토론회 개최 및 참여 횟수 (의회 기록) | 공식 (정형) | Volden & Wiseman (2025) |
| **8-4** | **시민 제안 수용 및 정책 반영 비율** | 시민/주민이 공식 채널을 통해 제안한 정책 중 실제 조례/정책으로 반영된 비율 | 공식 (정형) | Slough (2024) |
| **8-5** | **SNS 팔로워 수** | 주요 SNS 플랫폼(페이스북, X, 인스타그램)의 팔로워/친구 수 합계 | 공개 (정형) | Jacobson (2015) |
| **8-6** | **SNS 인게이지먼트 지수** | 월평균 좋아요, 공유, 댓글 등 반응 횟수를 팔로워 수로 나눈 비율 | 공개 (정형) | Nate Silver (선거 예측) |
| **8-7** | **갤럽/리얼미터 소통 능력 여론조사 점수** | 공신력 있는 여론조사 기관의 소통 능력/시민 경청도 평가 점수 (해당 조사 존재 시) | 공개 (정형) | Stoker et al. (2024) |

---

#### 분야 9: 대응성 (7개: 공식 4, 공개 3)

| 항목 번호 | 항목명 | 측정 방법 | 데이터 유형 | 학술 근거 |
| :--- | :--- | :--- | :--- | :--- |
| **9-1** | **주민참여예산 반영 규모** | 주민이 제안하여 실제 확정 예산에 반영된 금액의 총 규모 | 공식 (정형) | LEVER Framework (2024) |
| **9-2** | **정보 공개 청구 처리 속도 (평균 기간, 역산)** | 정보 공개 청구에 대한 법정 처리 기간 대비 실제 처리 기간 (단축될수록 고득점) | 공식 (정형) | Slough (2024) |
| **9-3** | **재난/긴급 사안 관련 공식 성명/지시 시간 (역산)** | 재난/사고 발생 후 첫 공식 성명 또는 현장 대응팀 지시까지 소요된 시간 (짧을수록 고득점) | 공식 (정형) | Slough (2024) |
| **9-4** | **지역 현안 해결 목적의 발의 건수** | 지역구 주민의 최다 민원, 핵심 현안 해결을 목적으로 한 정책 및 조례 발의 총 건수 | 공식 (정형) | Stoker et al. (2024) |
| **9-5** | **'위기 대응' 관련 언론 보도 횟수** | '위기 대응', '신속 조치', '현장 방문' 키워드와 함께 보도된 언론 기사 총 건수 | 공개 (정형) | Jacobson (2015) |
| **9-6** | **주요 현안 관련 SNS 최초 게시 시간 (역산)** | 주요 지역/국가 현안 발생 후 해당 정치인의 첫 SNS 메시지 게시 시간 (빠를수록 고득점) | 공개 (정형) | Nate Silver (선거 예측) |
| **9-7** | **리얼미터 등 대응성 만족도 여론조사 점수** | 공신력 있는 여론조사 기관의 정책/민원 대응 만족도 평가 점수 (해당 조사 존재 시) | 공개 (정형) | LEVER Framework (2024) |

---

#### 분야 10: 공익추구 (7개: 공식 4, 공개 3)

| 항목 번호 | 항목명 | 측정 방법 | 데이터 유형 | 학술 근거 |
| :--- | :--- | :--- | :--- | :--- |
| **10-1** | **취약계층/소수자 보호 정책 비중** | 전체 발의/추진 정책 중 사회적 약자, 소수자 보호 목적의 정책이 차지하는 비율 | 공식 (정형) | LEVER Framework (2024) |
| **10-2** | **사회 복지 예산 증가율** | 전년 대비 사회 복지 분야 총 예산 증가율 | 공식 (정형) | Slough (2024) |
| **10-3** | **환경 보호/탄소 중립 관련 정책 발의 건수** | 환경 보호, 탄소 중립 목표 달성을 위한 정책/조례 발의 총 건수 | 공식 (정형) | LEVER Framework (2024) |
| **10-4** | **지역 균형 발전 목적의 예산 비율** | 전체 투자 예산 중 지역 간 격차 해소, 낙후 지역 발전을 목적으로 배정된 예산의 비율 | 공식 (정형) | Stoker et al. (2024) |
